id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
41957017;Habitación con balcón a la calle en Gracia;332025307;Lucia;Sarrià-Sant Gervasi;el Putxet i el Farró;41,40391;2,14917;Private room;59;1;0;;;1;0;0;Exempt
41968633;Sunny single room in Sagrada Familia;332233217;Carlos;Eixample;el Fort Pienc;41,40068;2,18239;Private room;29;6;1;09/03/2020;0,03;1;0;0;Exempt
41971332;habitacion privada;332249949;Morad;Sants-Montjuïc;Sants - Badal;41,37152;2,12857;Private room;35;1;0;;;1;0;0;Exempt
42953353;Monthly Rent - Barcelona Center;332259450;Santos;Eixample;la Dreta de l'Eixample;41,388;2,16701;Private room;29;28;0;;;4;67;0;Exempt
42974011;Room in city center - monthly rent;332259450;Santos;Eixample;la Dreta de l'Eixample;41,38628;2,16506;Private room;25;30;0;;;4;82;0;Exempt
43600671;Room in Barcelona center-monthly rent;332259450;Santos;Eixample;la Dreta de l'Eixample;41,38622;2,16726;Private room;30;30;1;09/08/2022;0,88;4;93;1;Exempt
44237066;Large priv. room with priv. bathroom-monthly rent;332259450;Santos;Eixample;l'Antiga Esquerra de l'Eixample;41,3874724;2,165080552;Private room;31;30;0;;;4;67;0;Exempt
41994542;Habitación individual tranquila y luminosa.;332277543;Jasbleidy;Eixample;la Nova Esquerra de l'Eixample;41,38586;2,14379;Private room;42;31;34;12/08/2022;6,14;1;260;34;Exempt
41976814;La Casa <3;332290940;Juliette;Ciutat Vella;el Raval;41,37633;2,17115;Private room;25;2;2;27/02/2020;0,06;1;0;0;Exempt
41977794;Habitación doble en el centro de Barcelona;332300389;Victor;Eixample;la Sagrada Família;41,40265;2,18176;Private room;60;4;1;02/03/2020;0,03;1;0;0;Exempt
42012830;Cuarto;332882645;Eduardo;Sant Martí;la Verneda i la Pau;41,42131;2,20145;Private room;45;30;0;;;1;180;0;
42015983;Loft with terrace Barcelona(monthly rent Expats);332907300;Marisol;Ciutat Vella;el Raval;41,38105;2,16675;Entire home/apt;50;60;6;11/08/2022;0,21;1;298;3;
42021980;habitación privada en montjuic;333011049;Mel;Sants-Montjuïc;el Poble Sec;41,37374;2,15587;Private room;15;1;3;02/05/2020;0,1;2;0;0;Exempt
42583657;Habitación privada en Montjuic;333011049;Mel;Sants-Montjuïc;el Poble Sec;41,37146;2,15521;Private room;26;6;0;;;2;0;0;Exempt
29053195;LUXURY UNDER THE SKY WITH  STUNNING TERRACE;333092064;Lodging;Ciutat Vella;la Barceloneta;41,38096;2,19114;Entire home/apt;430;3;24;22/08/2022;0,86;5;338;18;HUTB-052674
42030176;Bright and modern apartment with sea view;333092064;Lodging;Ciutat Vella;la Barceloneta;41,37884;2,19103;Entire home/apt;440;3;30;05/09/2022;0,97;5;331;26;HUTB-052672
42057280;Modern and elegant Apt on the beach;333092064;Lodging;Ciutat Vella;la Barceloneta;41,37942;2,19297;Entire home/apt;397;3;27;31/08/2022;0,88;5;317;24;HUTB-052670
49477010;Bright and modern apartment with sea view 2;333092064;Lodging;Ciutat Vella;la Barceloneta;41,38081;2,1931;Entire home/apt;396;3;17;05/09/2022;1,44;5;331;17;HUTB-052672
49477480;Modern and elegant Apt on the beach 2;333092064;Lodging;Ciutat Vella;la Barceloneta;41,37885;2,19164;Entire home/apt;366;3;30;05/09/2022;2,67;5;335;30;HUTB-052670
5,80886E+17;Historic center of Barcelona;333134818;Irina;Ciutat Vella;el Raval;41,37748;2,17433;Entire home/apt;110;1;9;05/09/2022;2,21;1;36;9;HUTS-124576
42371898;Two bedroom Apartment 4 pax by Isabella's House;333353416;Isabellas House;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;41,39603;2,13696;Entire home/apt;260;1;81;11/08/2022;3,07;5;89;58;HB-000269
54155109;Apartamento 2 Habitaciones 3 pax Isabella's House;333353416;Isabellas House;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;41,395996;2,136988;Entire home/apt;234;1;8;25/08/2022;1,32;5;89;8;HB-004344
54155170;Apartamento 2 Habitaciones 2 pax Isabella's House;333353416;Isabellas House;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;41,395996;2,136988;Entire home/apt;202;1;24;02/09/2022;4,04;5;89;24;HB-004343
54155224;Apartamento 1 Habitaciones 3 pax Isabella's House;333353416;Isabellas House;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;41,395996;2,136988;Entire home/apt;199;1;1;20/04/2022;0,21;5;77;1;HB-004342
54155258;Apartamento 1 Habitaciones 2 pax Isabella's House;333353416;Isabellas House;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;41,395996;2,136988;Entire home/apt;179;1;3;02/05/2022;0,43;5;77;3;HB-004341
42079516;Beautifully 3BR in Poble Sec;333404935;Clara;Sants-Montjuïc;el Poble Sec;41,37348;2,15799;Entire home/apt;139;28;13;06/08/2022;0,43;1;158;6;Exempt
42067592;Cozy double room in the heart of Gothic Quarter;333426787;Jimena;Ciutat Vella;el Barri Gòtic;41,38179;2,17441;Private room;60;1;2;26/02/2020;0,06;1;0;0;Exempt
42619736;Room 5***** Rambla/Liceu Kitchen,Wc Not Shared;333605528;Danny;Ciutat Vella;el Raval;41,38045;2,17189;Private room;50;1;103;26/08/2022;3,4;2;244;51;HUTB-123456
5,49973E+17;precioso loft ramblas barcelona;333605528;Danny;Ciutat Vella;el Barri Gòtic;41,38003936;2,177203577;Entire home/apt;70;1;4;20/08/2022;1,32;2;34;4;HUTB-929123
42079862;Deluxe with gardened tarrace;333682186;Nacho;Nou Barris;Vilapicina i la Torre Llobeta;41,42931;2,17925;Entire home/apt;178;3;2;12/06/2022;0,63;4;45;2;HUTB-047748
42396146;Mediterranean Barcelona Penthouse with balcony;333682186;Nacho;Nou Barris;Porta;41,43149;2,17921;Entire home/apt;166;3;11;01/06/2022;0,41;4;45;7;HUTB-047748
5,69282E+17;Deluxe with gardened tarrace;333682186;Nacho;Nou Barris;Porta;41,43127;2,17936;Entire home/apt;176;1;3;12/06/2022;0,86;4;41;3;HUTB-047753
5,69282E+17;Mediterranean Barcelona Penthouse with balcony;333682186;Nacho;Nou Barris;Vilapicina i la Torre Llobeta;41,42978;2,17764;Entire home/apt;181;1;0;;;4;55;0;HUTB-047748
42081486;CHEERFUL APARTMENT IN GOTHIC QUARTER;333694747;B&F Apartments;Ciutat Vella;el Barri Gòtic;41,37995;2,17831;Entire home/apt;75;32;8;29/07/2022;0,54;13;84;6;
42085179;CHEERFUL APARTMENT IN THE CENTER OF BARCELONA;333694747;B&F Apartments;Ciutat Vella;el Barri Gòtic;41,37975;2,17822;Entire home/apt;75;32;8;15/07/2022;0,47;13;78;6;
42085942;CHEERFUL APARTMENT IN THE HEART OF THE CITY;333694747;B&F Apartments;Ciutat Vella;el Barri Gòtic;41,38139;2,17634;Entire home/apt;70;32;8;18/08/2022;0,32;13;23;6;
